"months" "stock" "n.train" "auc" "cutoff" "accuracy" "pos.pre.val" "neg.pre.val" "precision" "days.test" "days.trade" "money20" "money20.day" "trend.up" "model"
76 "FTSE" 1051 0.694207170403243 0.5 0.6475 0.652459016393443 0.640875912408759 0.652459016393443 1600 1600 5296 3.3 0.526875 "ens_July17"
76 "FTSE" 1051 0.694207170403243 0.6 0.7 0.692185007974482 0.710816777041943 0.692185007974482 1600 1080 5616 3.5 0.526875 "ens_July17"
76 "FTSE" 1051 0.694207170403243 0.7 0.74468085106383 0.730870712401055 0.763440860215054 0.730870712401055 1600 658 4480 2.8 0.526875 "ens_July17"
76 "FTSE" 1051 0.694207170403243 0.643838329389501 0.724137931034483 0.705179282868526 0.75 0.705179282868526 1600 870 5280 3.3 0.526875 "ens_July17"
50 "FTSE" 1051 0.696683636363637 0.5 0.636190476190476 0.638157894736842 0.633484162895928 0.638157894736842 1050 1050 3048 2.9 0.523809523809524 "ens_July17"
50 "FTSE" 1051 0.696683636363637 0.6 0.698879551820728 0.699519230769231 0.697986577181208 0.699519230769231 1050 714 3684 3.5 0.523809523809524 "ens_July17"
50 "FTSE" 1051 0.696683636363637 0.7 0.737209302325581 0.739669421487603 0.734042553191489 0.739669421487603 1050 430 2812 2.7 0.523809523809524 "ens_July17"
50 "FTSE" 1051 0.696683636363637 0.639106456367906 0.722871452420701 0.717948717948718 0.729838709677419 0.717948717948718 1050 599 3608 3.4 0.523809523809524 "ens_July17"
